profile,working_set_kib,request_period_ns,seeds,avg_read_latency_ns_mean,avg_read_latency_ns_ci95,metadata_hit_rate_pct_mean,metadata_hit_rate_pct_ci95,overhead_vs_insecure_pct_mean,overhead_vs_insecure_pct_ci95,crypto_increment_vs_anchor_pct_mean,crypto_increment_vs_anchor_pct_ci95,ticket_increment_vs_anchor_aead_pct_mean,ticket_increment_vs_anchor_aead_pct_ci95,illustrative_ebfi_increment_vs_anchor_pct_mean,illustrative_ebfi_increment_vs_anchor_pct_ci95,illustrative_ebfi_latency_ns_mean,illustrative_ebfi_latency_ns_ci95
anchor_aead,256,20.0,5,241.10106658459068,0.036849351820264734,95.13432837469765,0.02888653315165586,17.610276382727147,0.017975293570860508,11.92546470794253,0.005901056857522964,8.295276653012067,0.0012681011781632116,21.20999167965063,0.007043373711327115,261.1010665845906,0.03684935182027568
anchor_aead,256,100.0,5,263.2073197578539,0.16999575216866145,60.25352663440276,0.22367862127456087,28.39381451602629,0.08292475715544517,10.495065094176805,0.007495647626907229,7.598576176127052,0.004911124714994266,18.891117169518257,0.0134921657284312,283.2073197578539,0.16999575216866145
anchor_aead,4096,20.0,5,305.86096674879826,0.09857398526789267,11.93117693456058,0.196904688964305,49.20047158477964,0.04808487086238806,9.069693369103776,0.004616504346195542,6.538919423401035,0.002107727679008515,16.201672827515022,0.007097835950527164,325.86096674879826,0.09857398526789267
anchor_aead,4096,100.0,5,291.55022529346553,0.26906167891719523,22.96022987701904,0.3540285248910679,42.219622094373435,0.13124959947180154,9.379105381542818,0.009467950868335517,6.859887594550054,0.006331044514883493,16.88238968677707,0.017042311563003665,311.55022529346553,0.26906167891719523
anchor_aead,65536,20.0,5,307.363620974425,0.05257689647704936,6.025504462397164,0.08765475598447897,49.93347364606096,0.025647266574171167,8.941737119481441,0.003445563056266655,6.506951130386801,0.0011131527809717307,16.03052274006768,0.0045441395970136625,327.363620974425,0.05257689647704936
anchor_aead,65536,100.0,5,293.7655224450608,0.22524759684802903,20.045365203867327,0.29637841690529076,43.30025485124918,0.10987687651123187,9.301795127857327,0.007790796284740737,6.808155044807263,0.0052172341432935275,16.743231230143188,0.014023433312532495,313.7655224450608,0.22524759684802903
anchor_only,256,20.0,5,215.41216618116104,0.038617729149250844,95.13432837469765,0.02888653315165586,5.07910545422489,0.018837916658171118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_only,256,100.0,5,238.20731975785392,0.16999575216866653,60.25352663440276,0.22367862127456087,16.198692564806787,0.08292475715544753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_only,4096,20.0,5,280.4270938035749,0.10144989004044401,11.93117693456058,0.196904688964305,36.793704294426774,0.04948775123924141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_only,4096,100.0,5,266.55022529346553,0.26906167891719523,22.96022987701904,0.3540285248910679,30.024500143153922,0.13124959947180223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_only,65536,20.0,5,282.1357824216619,0.05442067718435776,6.025504462397164,0.08765475598447897,37.62721093739603,0.02654667179724564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_only,65536,100.0,5,268.7655224450608,0.22524759684802903,20.045365203867327,0.29637841690529076,31.105132900029666,0.10987687651123183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,256,20.0,5,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,256,100.0,5,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,4096,20.0,5,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,4096,100.0,5,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,65536,20.0,5,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,65536,100.0,5,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
