mode,working_set_kib,request_period_ns,seeds,avg_read_latency_ns_mean,avg_read_latency_ns_ci95,read_overhead_pct_mean,read_overhead_pct_ci95,metadata_hit_rate_pct_mean,metadata_hit_rate_pct_ci95,aead_queue_ns_per_op_mean,aead_queue_ns_per_op_ci95,metadata_queue_ns_per_read_mean,metadata_queue_ns_per_read_ci95,late_check_rate_pct_mean,late_check_rate_pct_ci95,late_check_window_ns_mean,late_check_window_ns_ci95
baseline,256,20.0,5,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,256,100.0,5,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,4096,20.0,5,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,4096,100.0,5,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,65536,20.0,5,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,65536,100.0,5,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
optimistic,256,20.0,5,229.2052188654744,0.001848844103698469,11.807423836816788,0.0009018751725359023,95.13734764805687,0.02911804285039389,0.16294251770070803,0.001189714308960883,0.0,0.0,0.0,0.0,0.0,0.0
optimistic,256,100.0,5,229.20637002085633,0.007048297341206459,11.807985376027464,0.0034381938249791765,60.25352663440276,0.22367862127456087,0.16403280656131225,0.004253644257815791,0.0,0.0,0.0,0.0,0.0,0.0
optimistic,4096,20.0,5,229.2052188654744,0.001848844103698469,11.807423836816788,0.0009018751725359023,11.925131679266368,0.19283896668760406,0.16294251770070803,0.001189714308960883,0.0,0.0,0.0,0.0,0.0,0.0
optimistic,4096,100.0,5,229.20637002085633,0.007048297341206459,11.807985376027464,0.0034381938249791765,22.96022987701904,0.3540285248910679,0.16403280656131225,0.004253644257815791,0.0,0.0,0.0,0.0,0.0,0.0
optimistic,65536,20.0,5,229.2052188654744,0.001848844103698469,11.807423836816788,0.0009018751725359023,6.0265138496990724,0.08751546951569057,0.16294251770070803,0.001189714308960883,0.0,0.0,0.0,0.0,0.0,0.0
optimistic,65536,100.0,5,229.20637002085633,0.007048297341206459,11.807985376027464,0.0034381938249791765,20.045365203867327,0.29637841690529076,0.16403280656131225,0.004253644257815791,0.0,0.0,0.0,0.0,0.0,0.0
verified,256,20.0,5,241.09687987777755,0.03877158871340965,17.608234086720767,0.018912970104102617,95.13734764805687,0.02911804285039389,4.709444377775111,0.03927730759281484,0.0,0.0,0.0,0.0,0.0,0.0
verified,256,100.0,5,263.2073197578539,0.16999575216866145,28.39381451602629,0.08292475715544517,60.25352663440276,0.22367862127456087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verified,4096,20.0,5,305.8614103876742,0.09813129396137821,49.2006879939874,0.047868923883602185,11.925131679266368,0.19283896668760406,16.864946597863913,0.10321571248119756,0.0,0.0,0.0,0.0,0.0,0.0
verified,4096,100.0,5,291.55022529346553,0.26906167891719523,42.219622094373435,0.13124959947180154,22.96022987701904,0.3540285248910679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verified,65536,20.0,5,307.3632575949963,0.052755879372960335,49.93329638780307,0.02573457530388373,6.0265138496990724,0.08751546951569057,14.79059962398496,0.061248484778084124,0.0,0.0,0.0,0.0,0.0,0.0
verified,65536,100.0,5,293.7655224450608,0.22524759684802903,43.30025485124918,0.10987687651123187,20.045365203867327,0.29637841690529076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
