mode,working_set_kib,request_period_ns,traffic_pattern,seeds,avg_read_latency_ns_mean,avg_read_latency_ns_ci95,read_overhead_pct_mean,read_overhead_pct_ci95,metadata_hit_rate_pct_mean,metadata_hit_rate_pct_ci95,aead_queue_ns_per_op_mean,aead_queue_ns_per_op_ci95,metadata_queue_ns_per_read_mean,metadata_queue_ns_per_read_ci95,late_check_rate_pct_mean,late_check_rate_pct_ci95,late_check_window_ns_mean,late_check_window_ns_ci95
baseline,65536,20.0,hotcold,5,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,65536,20.0,linear,5,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,65536,20.0,stride4k,5,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,65536,20.0,uniform,5,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
optimistic,65536,20.0,hotcold,5,229.20396293919347,0.0037554702655088873,11.806811189850478,0.001831936714882296,87.24323321254784,0.36658241234125005,0.16189751801441155,0.0018921407256108258,0.0,0.0,0.0,0.0,0.0,0.0
optimistic,65536,20.0,linear,5,229.20781538958423,0.0025788419472465105,11.808690433943525,0.0012579716815828439,1.9010280220616145,0.0333235891550842,0.16459058362334494,0.0017251540735146913,0.0,0.0,0.0,0.0,0.0,0.0
optimistic,65536,20.0,stride4k,5,229.20781538958423,0.0025788419472465105,11.808690433943525,0.0012579716815828439,0.0,0.0,0.16459058362334494,0.0017251540735146913,0.0,0.0,0.0,0.0,0.0,0.0
optimistic,65536,20.0,uniform,5,229.2052188654744,0.001848844103698469,11.807423836816788,0.0009018751725359023,6.0265138496990724,0.08751546951569057,0.16294251770070803,0.001189714308960883,0.0,0.0,0.0,0.0,0.0,0.0
verified,65536,20.0,hotcold,5,249.49450264283396,0.5319556525328164,21.70463543552875,0.25949056221112987,87.24323321254784,0.36658241234125005,7.942682145716573,0.3122036430973122,0.0,0.0,0.0,0.0,0.0,0.0
verified,65536,20.0,linear,5,307.575618702031,0.022914402774574762,50.036887171722455,0.011177757451012831,1.9010280220616145,0.0333235891550842,12.655266210648426,0.08607782801697039,0.0,0.0,0.0,0.0,0.0,0.0
verified,65536,20.0,stride4k,5,309.0,0.0,50.73170731707317,0.0,0.0,0.0,12.898075923036922,0.09423423258387088,0.0,0.0,0.0,0.0,0.0,0.0
verified,65536,20.0,uniform,5,307.3632575949963,0.052755879372960335,49.93329638780307,0.02573457530388373,6.0265138496990724,0.08751546951569057,14.79059962398496,0.061248484778084124,0.0,0.0,0.0,0.0,0.0,0.0
