profile,request_period_ns,reservation_ns,commit_ns,issue_ns,seeds,avg_write_latency_ns_mean,avg_write_latency_ns_ci95,completed_writes_per_us_mean,completed_writes_per_us_ci95,completion_fraction_pct_mean,completion_fraction_pct_ci95,write_overhead_vs_insecure_pct_mean,write_overhead_vs_insecure_pct_ci95,control_increment_vs_anchor_pct_mean,control_increment_vs_anchor_pct_ci95,write_control_queue_ns_per_write_mean,write_control_queue_ns_per_write_ci95,reservation_ns_per_write_mean,reservation_ns_per_write_ci95,commit_ns_per_write_mean,commit_ns_per_write_ci95
anchor_aead,20.0,0.0,0.0,2.0,5,291.50245066747146,0.3149267455473622,10.299199999999999,0.09441098444566727,100.0,0.0,41.50604401333566,0.15287706094532183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_aead,100.0,0.0,0.0,2.0,5,231.0,0.0,2.0488,0.06576493704094907,100.0,0.0,12.135922330097088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ebfi_high,20.0,20.0,40.0,2.0,5,330.7996067233519,0.26639047731140075,10.299199999999999,0.09441098444566727,100.0,0.0,60.58233336085044,0.12931576568514377,13.480936182793684,0.03229535494107732,0.02794007768305678,0.003161246710395981,20.025531909680517,0.0033142864151880828,40.00240816800253,0.0008428606021689476
ebfi_high,100.0,20.0,40.0,2.0,5,290.0,0.0,2.0488,0.06576493704094907,100.0,0.0,40.77669902912621,0.0,25.541125541125542,0.0,0.0,0.0,20.0,0.0,40.0,0.0
ebfi_low,20.0,5.0,10.0,2.0,5,300.53400624676806,0.3051983783675386,10.299199999999999,0.09441098444566727,100.0,0.0,45.8902942945476,0.14815455260559857,3.0982852823171125,0.0067986366071314435,0.02964733910833402,0.003315416044778155,5.027239171105798,0.00340743550034812,10.002408168002535,0.0008428606021674712
ebfi_low,100.0,5.0,10.0,2.0,5,245.0,0.0,2.0488,0.06576493704094907,100.0,0.0,18.932038834951456,0.0,6.0606060606060606,0.0,0.0,0.0,5.0,0.0,10.0,0.0
ebfi_nominal,20.0,10.0,20.0,2.0,5,310.59862942199976,0.2939719369286384,10.299199999999999,0.09441098444566727,100.0,0.0,50.776033699999886,0.14270482375176619,6.550965762872903,0.014742453641274397,0.03251544607971098,0.003628817304726047,10.030068230830006,0.0037466125482437437,20.002447215249706,0.0008606144993368063
ebfi_nominal,100.0,10.0,20.0,2.0,5,260.0,0.0,2.0488,0.06576493704094907,100.0,0.0,26.213592233009713,0.0,12.554112554112555,0.0,0.0,0.0,10.0,0.0,20.0,0.0
ebfi_slow1000_pipe,20.0,1000.0,1000.0,2.0,5,2232.609888525291,0.13315215707015787,9.166,0.053919596437659124,100.0,0.0,983.791208021986,0.06463696945151198,665.8984402370085,0.86480333858995,0.11026750076909242,0.0033657199214228847,1000.1028471673544,0.0027637235883138556,1000.0074203334146,0.0012073803200046205
ebfi_slow1000_pipe,100.0,1000.0,1000.0,2.0,5,2230.33610595634,0.013730033316915092,2.0488,0.06576493704094907,100.0,0.0,982.6874300758931,0.006665064716941455,865.5134657819654,0.005943737366608314,0.0,0.0,1000.0,0.0,1000.0,0.0
ebfi_slow1000_serial,20.0,1000.0,1000.0,1000.0,5,44682.241546454345,2492.962448877847,0.5028,0.004736554021649076,98.37881618933429,1.9759187539618905,21590.408517696284,1210.1759460572077,15229.03027980811,868.6974133898211,42340.9869954874,2896.7238407550653,22002.45278317479,1384.8709724694195,22714.376902236436,1661.7960297527889
ebfi_slow1000_serial,100.0,1000.0,1000.0,1000.0,5,44910.34595295123,2503.7969658132797,0.5016,0.0033721115046807123,98.14339633889932,1.7912885806731298,21701.13881211225,1215.4354202977079,19341.708204740793,1083.8947903953588,42699.73469669359,2922.0406898619917,22356.54517723425,1373.3486677967644,22762.422347481664,1571.3694400323386
ebfi_slow200_pipe,20.0,200.0,200.0,2.0,5,630.5308850902103,0.015365850389700517,10.299199999999999,0.09441098444566727,100.0,0.0,206.08295392728655,0.007459150674604743,116.30406297026516,0.23162391347252778,0.0,0.0,200.0,0.0,200.0,0.0
ebfi_slow200_pipe,100.0,200.0,200.0,2.0,5,630.336254257629,0.019791596031877617,2.0488,0.06576493704094907,100.0,0.0,205.98847294059655,0.009607570889256544,172.8728373409649,0.00856779048998384,0.0,0.0,200.0,0.0,200.0,0.0
ebfi_slow200_serial,20.0,200.0,200.0,200.0,5,8792.262092050363,204.66442343310865,2.524,0.0027718585822512683,99.84247285240357,0.30988545653586486,4168.088394199205,99.35166186073239,2916.2618939453478,73.16078943553468,8106.7466832729315,201.53413486399245,4253.869004291179,88.87797723437846,4259.57576347454,112.56983835883965
ebfi_slow200_serial,100.0,200.0,200.0,200.0,5,1480.198343743346,209.19651000653334,2.0488,0.06576493704094907,100.0,0.0,618.542885312304,101.55170388666666,540.7785037849983,90.56125974308799,850.1983437433461,209.1965100065334,601.9747066464344,105.02329458044721,648.2236370969118,104.25024674011145
insecure,20.0,0.0,0.0,2.0,5,206.0,0.0,10.299199999999999,0.09441098444566727,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,100.0,0.0,0.0,2.0,5,206.0,0.0,2.0488,0.06576493704094907,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
